      Step     Time          Energy          fmax
BFGS:    0 11:10:42        8.878698        0.417192
BFGS:    1 11:10:42        8.782090        0.374438
BFGS:    2 11:10:42        8.361016        0.683068
BFGS:    3 11:10:42        8.333883        0.496878
BFGS:    4 11:10:42        8.314077        0.347259
BFGS:    5 11:10:42        8.247307        0.466576
BFGS:    6 11:10:42        8.226535        0.521036
BFGS:    7 11:10:42        8.198557        0.359675
BFGS:    8 11:10:42        8.186179        0.211385
BFGS:    9 11:10:42        8.177368        0.030145
BFGS:   10 11:10:42        8.176801        0.032306
BFGS:   11 11:10:42        8.176721        0.032212
BFGS:   12 11:10:42        8.176625        0.028452
BFGS:   13 11:10:42        8.176450        0.020010
BFGS:   14 11:10:42        8.176290        0.013101
BFGS:   15 11:10:42        8.176194        0.011560
BFGS:   16 11:10:42        8.176145        0.011528
BFGS:   17 11:10:42        8.176096        0.008744
